Id ;Facility Name;VAMC System Health Service;Facility description of services;Owner
vha_508 - Audiology and speech;'Atlanta VA Medical Center';'Audiology and speech at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Primary care;'Atlanta VA Medical Center';'Primary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Cardiology;'Atlanta VA Medical Center';'Cardiology at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Thoracic surgery;'Atlanta VA Medical Center';'Thoracic surgery at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Caregiver support;'Atlanta VA Medical Center';'Caregiver support at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Registry exams;'Atlanta VA Medical Center';'Registry exams at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Vocational rehabilitation and employment programs;'Atlanta VA Medical Center';'Vocational rehabilitation and employment programs at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Dental/oral surgery;'Atlanta VA Medical Center';'Dental/oral surgery at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Dermatology;'Atlanta VA Medical Center';'Dermatology at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Emergency care;'Atlanta VA Medical Center';'Emergency care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Endocrinology;'Atlanta VA Medical Center';'Endocrinology at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Gastroenterology;'Atlanta VA Medical Center';'Gastroenterology at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Gynecology;'Atlanta VA Medical Center';'Gynecology at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Hematology/oncology;'Atlanta VA Medical Center';'Hematology/oncology at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Homeless Veteran care;'Atlanta VA Medical Center';'Homeless Veteran care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Palliative and hospice care;'Atlanta VA Medical Center';'Palliative and hospice care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - HIV/hepatitis care;'Atlanta VA Medical Center';'HIV/hepatitis care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Infectious disease;'Atlanta VA Medical Center';'Infectious disease at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - LGBT Veteran care;'Atlanta VA Medical Center';'LGBT Veteran care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Mental health care;'Atlanta VA Medical Center';'Mental health care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Minority Veteran care;'Atlanta VA Medical Center';'Minority Veteran care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Nephrology;'Atlanta VA Medical Center';'Nephrology at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Radiology;'Atlanta VA Medical Center';'Radiology at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Nutrition, food, and dietary care;'Atlanta VA Medical Center';'Nutrition, food, and dietary care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Returning service member care;'Atlanta VA Medical Center';'Returning service member care at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Ophthalmology;'Atlanta VA Medical Center';'Ophthalmology at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Orthopedics;'Atlanta VA Medical Center';'Orthopedics at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Otolaryngology;'Atlanta VA Medical Center';'Otolaryngology at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Patient advocates;'Atlanta VA Medical Center';'Patient advocates at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Pharmacy;'Atlanta VA Medical Center';'Pharmacy at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Plastic and reconstructive surgery;'Atlanta VA Medical Center';'Plastic and reconstructive surgery at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Physical medicine and rehabilitation;'Atlanta VA Medical Center';'Physical medicine and rehabilitation at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Podiatry;'Atlanta VA Medical Center';'Podiatry at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Polytrauma and traumatic brain injury;'Atlanta VA Medical Center';'Polytrauma and traumatic brain injury at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Pulmonary medicine;'Atlanta VA Medical Center';'Pulmonary medicine at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Telehealth;'Atlanta VA Medical Center';'Telehealth at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Rheumatology;'Atlanta VA Medical Center';'Rheumatology at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Sleep medicine;'Atlanta VA Medical Center';'Sleep medicine at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Suicide prevention;'Atlanta VA Medical Center';'Suicide prevention at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Surgery;'Atlanta VA Medical Center';'Surgery at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Advice nurse;'Atlanta VA Medical Center';'Advice nurse at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Urology;'Atlanta VA Medical Center';'Urology at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Vascular surgery;'Atlanta VA Medical Center';'Vascular surgery at VA Atlanta health care';'';'VA Atlanta health care'
vha_508 - Whole health;'Atlanta VA Medical Center';'Whole health at VA Atlanta health care';'';'VA Atlanta health care'
